,0
583,land
584,roll
585,captain
586,improp
587,placement
588,power
589,lever
590,beta
591,posit
592,airplan
593,inflight
594,factor
595,fog
596,dusk
597,condit
598,improp
599,oper
600,cyclic
601,student
602,pilot
603,failur
604,student
605,relinquish
606,control
607,inadequ
608,supervis
609,flight
610,instructor
611,pilot
612,failur
613,maintain
614,control
615,airplan
616,result
617,inflight
618,separ
619,wing
620,vertic
621,stabil
622,rudder
623,stabil
624,factor
625,associ
626,accid
627,pilot
628,continu
629,flight
630,known
631,advers
632,weather
633,ice
634,condit
635,exist
636,pilot
637,failur
638,maintain
639,airspe
640,final
641,approach
642,result
643,inadvert
644,stall
645,spin
646,pilot
647,inadequ
648,compens
649,wind
650,condit
651,result
652,loss
653,aircraft
654,control
655,factor
656,crosswind
657,pilot
658,failur
659,releas
660,load
661,agricultur
662,product
663,land
664,approach
665,failur
666,maintain
667,aircraft
668,control
669,initi
670,climb
671,abort
672,land
673,result
674,airplan
675,exceed
676,critic
677,angl
678,attack
679,experienc
680,aerodynam
681,stall
682,pilot
683,inaccur
684,fuel
685,consumpt
686,calcul
687,result
688,fuel
689,exhaust
690,final
691,approach
692,land
693,physiolog
694,incapacit
695,due
696,cardiovascular
697,diseas
698,result
699,incapacit
700,inflight
701,collis
702,tree
703,fatigu
704,failur
705,crankshaft
706,factor
707,includ
708,suitabl
709,terrain
710,forc
711,land
712,improp
713,propel
714,pilot
715,failur
716,maintain
717,aircraft
718,control
719,land
720,roll
721,result
722,overrun
723,nose
724,factor
725,contribut
726,accid
727,gusti
728,wind
729,restrict
730,aileron
731,control
732,movement
733,captain
734,failur
735,maintain
736,airspe
737,result
738,inadvert
739,stall
740,mush
741,hard
742,land
743,factor
744,failur
745,pilot
746,follow
747,compani
748,crm
749,flight
750,manual
751,procedur
752,captain
753,improp
754,approach
755,brief
756,pilot
757,inadequ
758,preflight
759,plan
760,result
761,loss
762,engin
763,power
764,due
765,fuel
766,exhaust
767,divert
768,attent
769,inadequ
770,flare
771,pilot
772,land
773,failur
774,pilot
775,maintain
776,direct
777,control
778,aircraft
779,land
780,roll
781,result
782,collis
783,ditch
784,pilot
785,decis
786,fli
787,toward
788,rise
789,terrain
790,exceed
791,climb
792,capabl
793,airplan
794,pilot
795,inadequ
796,compens
797,variabl
798,wind
799,condit
800,failur
801,maintain
802,adequ
803,airspe
804,land
805,downwind
806,turn
807,stall
808,mush
809,due
810,pilot
811,decis
812,turn
813,failur
814,maintain
815,fli
816,speed
817,pilot
818,failur
819,maintain
820,direct
821,control
822,result
823,ground
824,loop
825,pilot
826,inadequ
827,fuel
828,manag
829,result
830,fuel
831,exhaust
832,subsequ
833,collis
834,vehicl
835,forc
836,land
837,citi
838,street
839,loss
840,direct
841,control
842,undetermin
843,reason
844,takeoff
845,initi
846,climb
847,result
848,left
849,wing
850,collid
851,ground
852,loss
853,engin
854,power
855,due
856,seizur
857,magneto
858,piston
859,pilot
860,failur
861,maintain
862,airspe
863,initi
864,climb
865,hard
866,land
867,exceed
868,design
869,stress
870,limit
871,aircraft
872,failur
873,repair
874,station
875,adequ
876,perform
877,top
878,overhaul
879,compli
880,servic
881,bulletin
882,contribut
883,accid
884,failur
885,connect
886,rod
887,due
888,fatigu
889,unsuit
890,terrain
891,pilot
892,failur
893,attain
894,proper
895,touchdown
896,point
897,delay
898,go
899,around
900,pilot
901,improp
902,decis
903,continu
904,vfr
905,flight
906,instrument
907,meteorolog
908,weather
909,condit
910,result
911,control
912,flight
913,mountain
914,terrain
915,pilot
916,failur
917,maintain
918,minimum
919,control
920,speed
921,undetermin
922,loss
923,engin
924,power
925,result
926,inadvert
927,stall
928,low
929,altitud
930,allow
931,recoveri
932,pilot
933,inadvert
934,activ
935,auxiliari
936,fuel
937,pump
938,result
939,loss
940,engin
941,power
942,takeoff
943,pilot
944,inadequ
945,compens
946,crosswind
947,condit
948,failur
949,maintain
950,direct
951,control
952,land
953,loss
954,power
955,right
956,engin
957,initi
958,climb
959,due
960,fuel
961,contamin
962,pilot
963,failur
964,maintain
965,adequ
966,airspe
967,airplan
968,control
969,contribut
970,accid
971,pilot
972,inadequ
973,preflight
974,check
975,airplan
976,flight
977,collis
978,bird
979,gees
980,factor
981,associ
982,accid
983,build
984,contact
985,loss
986,engin
987,power
988,due
989,fuel
990,starvat
991,mechan
992,contribut
993,accid
994,forc
995,land
996,unsuit
997,terrain
998,restrict
999,elev
1000,control
1001,system
1002,due
1003,camera
1004,place
1005,seat
1006,back
1007,pocket
1008,inadvert
1009,stall
1010,mush
1011,condit
1012,encount
1013,go
1014,around
1015,tree
1016,impact
1017,stall
1018,contribut
1019,factor
1020,power
1021,loss
1022,due
1023,fuel
1024,exhaust
1025,pilot
1026,failur
1027,refuel
1028,factor
1029,rough
1030,uneven
1031,terrain
1032,pilot
1033,failur
1034,maintain
1035,fli
1036,airspe
1037,subsequ
1038,stall
1039,spin
1040,contribut
1041,factor
1042,high
1043,densiti
1044,altitud
1045,pilot
1046,improp
1047,land
1048,flare
1049,recoveri
1050,bounc
1051,land
1052,pilot
1053,inadequ
1054,compens
1055,tailwind
1056,failur
1057,maintain
1058,direct
1059,control
1060,result
1061,loss
1062,tail
1063,rotor
1064,effect
1065,factor
1066,pilot
1067,improp
1068,flight
1069,decis
1070,hover
1071,tailwind
1072,failur
1073,pilot
1074,maintain
1075,direct
1076,control
1077,loss
1078,engin
1079,power
1080,due
1081,fuel
1082,exhaust
1083,pilot
1084,adequ
1085,plan
1086,flight
1087,calcul
1088,fuel
1089,consumpt
1090,accur
1091,fail
1092,provid
1093,adequ
1094,fuel
1095,reserv
1096,fail
1097,land
1098,airport
1099,short
1100,destin
1101,even
1102,though
1103,awar
1104,low
1105,fuel
1106,state
1107,none
1108,submit
1109,pilot
1110,failur
1111,maintain
1112,clearanc
1113,power
1114,line
1115,climb
1116,factor
1117,power
1118,line
1119,pilot
1120,loss
1121,control
1122,airplan
1123,reason
1124,could
1125,undetermin
1126,postaccid
1127,examin
1128,airplan
1129,reveal
1130,anomali
1131,would
1132,preclud
1133,normal
1134,oper
1135,pilot
1136,failur
1137,maintain
1138,airplan
1139,control
1140,taxi
1141,unfavor
1142,wind
1143,condit
1144,pilot
1145,select
1146,unsuit
1147,land
1148,site
1149,result
1150,collis
1151,culvert
1152,aircraft
1153,control
1154,possibl
1155,pilot
1156,visual
1157,approach
1158,runway
1159,due
1160,physic
1161,impair
1162,pilot
1163,improp
1164,mainten
1165,b
1166,nut
1167,fit
1168,adjac
1169,fuel
1170,pump
1171,mainten
1172,personnel
1173,result
1174,fuel
1175,leak
1176,wing
1177,explos
1178,loss
1179,engin
1180,power
1181,result
1182,connect
1183,rod
1184,failur
1185,factor
1186,relat
1187,accid
1188,power
1189,line
1190,tree
1191,path
1192,select
1193,emerg
1194,land
1195,site
1196,loss
1197,power
1198,undetermin
1199,reason
1200,pilot
1201,failur
1202,maintain
1203,aircraft
1204,control
1205,maneuv
1206,low
1207,altitud
1208,dark
1209,night
1210,condit
1211,result
1212,collis
1213,terrain
1214,contribut
1215,accid
1216,pilot
1217,fatigu
1218,due
1219,work
1220,time
1221,normal
1222,would
1223,asleep
1224,rel
1225,long
1226,time
1227,sinc
1228,awaken
1229,pilot
1230,lack
1231,total
1232,experi
1233,task
1234,environ
1235,failur
1236,pilot
1237,maintain
1238,proper
1239,airspe
1240,approach
1241,result
1242,land
1243,short
1244,runway
1245,failur
1246,maintain
1247,direct
1248,control
1249,land
1250,roll
1251,pilot
1252,fail
1253,maintain
1254,control
1255,airplan
1256,allow
1257,exceed
1258,design
1259,stress
1260,limit
1261,result
1262,overload
1263,failur
1264,stabil
1265,right
1266,outboard
1267,wing
1268,section
1269,failur
1270,5
1271,cylind
1272,due
1273,fatigu
1274,contribut
1275,accid
1276,wet
1277,terrain
1278,crop
1279,pilot
1280,failur
1281,identifi
1282,unsaf
1283,hazard
1284,condit
1285,factor
1286,rough
1287,water
1288,high
1289,wind
1290,student
1291,pilot
1292,failur
1293,maintain
1294,adequ
1295,airspe
1296,approach
1297,land
1298,result
1299,aerodynam
1300,stall
1301,hard
1302,land
1303,pilot
1304,decis
1305,attempt
1306,visual
1307,flight
1308,rule
1309,flight
1310,area
1311,known
1312,instrument
1313,meteorolog
1314,condit
1315,result
1316,loss
1317,control
1318,due
1319,spatial
1320,disorient
1321,pilot
1322,misjudg
1323,distanc
1324,altitud
1325,result
1326,undershoot
1327,runway
1328,failur
1329,pilot
1330,abort
1331,takeoff
1332,improp
1333,remedi
1334,action
1335,pilot
1336,rate
1337,passeng
1338,assum
1339,control
1340,airplan
1341,factor
1342,associ
1343,accid
1344,pilot
1345,lose
1346,direct
1347,control
1348,takeoff
1349,ground
1350,run
1351,failur
1352,pilot
1353,maintain
1354,aircraft
1355,control
1356,due
1357,spatial
1358,disorient
1359,fli
1360,partial
1361,panel
1362,design
1363,stress
1364,limit
1365,aircraft
1366,exceed
1367,factor
1368,relat
1369,accid
1370,failur
1371,vacuum
1372,system
1373,result
1374,inop
1375,attitud
1376,indic
1377,advers
1378,weather
1379,condit
1380,pilot
1381,excess
1382,brake
1383,land
1384,roll
1385,result
1386,nose
1387,factor
1388,tailwind
1389,pilot
1390,improp
1391,decis
1392,takeoff
1393,area
1394,design
1395,runway
1396,failur
1397,maintain
1398,clearanc
1399,tree
1400,pilot
1401,command
1402,failur
1403,maintain
1404,direct
1405,control
1406,factor
1407,contribut
1408,accid
1409,soft
1410,terrain
1411,excess
1412,airspe
1413,crosswind
1414,fuel
1415,exhaust
1416,due
1417,pilot
1418,failur
1419,refuel
1420,factor
1421,fals
1422,fuel
1423,sensor
1424,indic
1425,fenc
1426,pilot
1427,select
1428,unsuit
1429,field
1430,airport
1431,land
1432,attempt
1433,takeoff
1434,loss
1435,engin
1436,power
1437,takeoff
1438,initi
1439,climb
1440,due
1441,separ
1442,engin
1443,power
1444,turbin
1445,shaft
1446,failur
1447,due
1448,disconnect
1449,adjac
1450,leaf
1451,spring
1452,result
1453,emerg
1454,land
1455,takeoff
1456,subsequ
1457,hard
1458,land
1459,inadequ
1460,visual
1461,lookout
1462,pilot
1463,airplan
1464,result
1465,midair
1466,collis
1467,pilot
1468,use
1469,wrong
1470,runway
1471,takeoff
1472,factor
1473,relat
1474,accid
1475,tailwind
1476,rise
1477,terrain
1478,beyond
1479,departur
1480,runway
1481,fatigu
1482,failur
1483,engin
1484,crankshaft
1485,cruis
1486,flight
1487,pilot
1488,inadequ
1489,preflight
1490,result
1491,delay
1492,abort
1493,inadvert
1494,retract
1495,land
1496,gear
1497,aircraft
1498,skid
1499,runway
1500,rough
1501,terrain
1502,flight
1503,delamin
1504,subsequ
1505,failur
1506,hand
1507,carv
1508,wooden
1509,propel
1510,pilot
1511,improp
1512,decis
1513,continu
1514,flight
1515,advers
1516,weather
1517,condit
1518,low
1519,ceil
1520,heavi
1521,rain
1522,factor
1523,pilot
1524,inadequ
1525,compens
1526,crosswind
1527,condit
1528,result
1529,loss
1530,direct
1531,control
1532,ground
1533,loop
1534,crosswind
1535,contribut
1536,factor
1537,student
1538,pilot
1539,failur
1540,maintain
1541,airspe
1542,proper
1543,glidepath
1544,final
1545,approach
1546,result
1547,inadvert
1548,stall
1549,undershoot
1550,factor
1551,night
1552,light
1553,condit
1554,flight
1555,instructor
1556,inadequ
1557,supervis
1558,student
1559,pilot
1560,fuel
1561,exhaust
1562,due
1563,pilot
1564,failur
1565,refuel
1566,factor
1567,lack
1568,suitabl
1569,terrain
1570,forc
1571,land
1572,failur
1573,separ
1574,propel
1575,undetermin
1576,reason
1577,pilot
1578,failur
1579,maintain
1580,proper
1581,align
1582,taxiway
1583,factor
1584,associ
1585,accid
1586,fenc
1587,post
1588,sunglar
1589,hinder
1590,pilot
1591,abil
1592,see
1593,fenc
1594,post
1595,pilot
1596,verifi
1597,land
1598,gear
1599,selector
1600,posit
1601,prior
1602,start
1603,taxi
1604,improp
1605,decis
1606,pilot
1607,depart
1608,night
1609,unlight
1610,runway
1611,visual
1612,refer
1613,obstruct
1614,side
1615,runway
1616,factor
1617,dark
1618,night
1619,condit
1620,lack
1621,runway
1622,side
1623,light
1624,flight
1625,breakup
1626,airplan
1627,follow
1628,pilot
1629,continu
1630,vfr
1631,flight
1632,imc
1633,condit
1634,direct
1635,control
1636,airplan
1637,maintain
1638,design
1639,limit
1640,airplan
1641,exceed
1642,pilot
1643,inadequ
1644,evalu
1645,weather
1646,condit
1647,consist
1648,mountain
1649,wave
1650,activ
1651,stand
1652,lenticular
1653,cloud
1654,factor
1655,accid
1656,pilot
1657,delay
1658,decis
1659,abort
1660,takeoff
1661,contribut
1662,accid
1663,attempt
1664,takeoff
1665,airplan
1666,maximum
1667,gross
1668,weight
1669,undetermin
1670,partial
1671,power
1672,loss
1673,report
1674,pilot
1675,pilot
1676,failur
1677,maintain
1678,direct
1679,control
1680,land
1681,contribut
1682,accid
1683,pilot
1684,disorient
1685,result
1686,dust
1687,reduc
1688,visibl
1689,pilot
1690,misjudg
1691,altitud
1692,distanc
1693,short
1694,final
1695,factor
1696,wet
1697,soft
1698,terrain
1699,short
1700,runway
1701,threshold
1702,improp
1703,inflight
1704,plan
1705,decis
1706,pilot
1707,failur
1708,maintain
1709,suffici
1710,altitud
1711,clearanc
1712,mountain
1713,hilli
1714,terrain
1715,separ
1716,rudder
1717,control
1718,cabl
1719,aft
1720,fairlead
1721,result
1722,wear
1723,certifi
1724,flight
1725,instructor
1726,inadequ
1727,compens
1728,crosswind
1729,delay
1730,remedi
1731,action
1732,land
1733,result
1734,ground
1735,loop
1736,pilot
1737,inadequ
1738,preflight
1739,plan
1740,prepar
1741,fuel
1742,consumpt
1743,calcul
1744,result
1745,fuel
1746,exhaust
1747,pilot
1748,failur
1749,switch
1750,fuel
1751,tank
1752,auxiliari
1753,posit
1754,feather
1755,propel
1756,factor
1757,pilot
1758,inadequ
1759,plan
1760,decis
1761,result
1762,vfr
1763,flight
1764,imc
1765,failur
1766,maintain
1767,terrain
1768,clearanc
1769,contribut
1770,factor
1771,pilot
1772,failur
1773,follow
1774,brief
1775,recommend
1776,fog
1777,mist
1778,observ
1779,engin
1780,seiz
1781,oil
1782,starvat
1783,lack
1784,oil
1785,oil
1786,pressur
1787,result
1788,aircraft
1789,ditch
1790,loss
1791,engin
1792,power
1793,due
1794,failur
1795,compani
1796,mainten
1797,personnel
1798,compli
1799,engin
1800,manufactur
1801,requir
1802,carburetor
1803,adjust
1804,100
1805,hour
1806,inspect
1807,failur
1808,mainten
1809,personnel
1810,ensur
1811,hydraul
1812,line
1813,fit
1814,adequ
1815,secur
1816,condit
1817,inspect
1818,result
1819,leak
1820,subsequ
1821,ground
1822,fire
1823,fatigu
1824,failur
1825,separ
1826,oil
1827,pump
1828,drive
1829,accessori
1830,gear
1831,section
1832,induc
1833,oil
1834,starvat
1835,failur
1836,engin
1837,fatigu
1838,failur
1839,oil
1840,pump
1841,drive
1842,gear
1843,caus
1844,improp
1845,machin
1846,gear
1847,fillet
1848,radiu
1849,origin
1850,manufactur
1851,student
1852,pilot
1853,improp
1854,recoveri
1855,bounc
1856,land
1857,pilot
1858,failur
1859,maintain
1860,adequ
1861,airspe
1862,climb
1863,turn
1864,low
1865,altitud
1866,result
1867,stall
1868,impact
1869,terrain
1870,factor
1871,pilot
1872,exceed
1873,aircraft
1874,maximum
1875,takeoff
1876,gross
1877,weight
1878,limit
1879,fuel
1880,system
1881,water
1882,contamin
1883,due
1884,failur
1885,pilot
1886,purg
1887,water
1888,fuel
1889,system
1890,prior
1891,departur
1892,contribut
1893,factor
1894,failur
1895,mechan
1896,conduct
1897,recent
1898,annual
1899,inspect
1900,identifi
1901,replac
1902,deterior
1903,fuel
1904,cap
1905,ring
1906,pilot
1907,failur
1908,see
1909,avoid
1910,airplan
1911,contribut
1912,accid
1913,erron
1914,readout
1915,cessna
1916,altitud
1917,encod
1918,pilot
1919,improp
1920,fuel
1921,manag
1922,result
1923,loss
1924,engin
1925,power
1926,due
1927,fuel
1928,starvat
1929,loss
1930,aircraft
1931,control
1932,unknown
1933,reason
1934,maneuv
1935,student
1936,pilot
1937,failur
1938,maintain
1939,helicopt
1940,control
1941,practic
1942,autorot
1943,flight
1944,instructor
1945,delay
1946,remedi
1947,action
1948,partial
1949,loss
1950,engin
1951,power
1952,undetermin
1953,reason
1954,contribut
1955,factor
1956,lack
1957,suitabl
1958,terrain
1959,forc
1960,land
1961,pilot
1962,continu
1963,visual
1964,flight
1965,instrument
1966,meteorolog
1967,condit
1968,result
1969,flight
1970,collis
1971,terrain
1972,main
1973,land
1974,gear
1975,wheel
1976,failur
1977,takeoff
1978,ground
1979,roll
1980,relat
1981,factor
1982,direct
1983,control
1984,aircraft
1985,possibl
1986,wheel
1987,failur
1988,pilot
1989,failur
1990,see
1991,avoid
1992,power
1993,line
1994,low
1995,altitud
1996,flight
1997,pilot
1998,failur
1999,identifi
2000,unsaf
2001,condit
2002,strong
2003,tidal
2004,current
2005,prior
2006,water
2007,land
2008,result
2009,airplan
2010,nose
2011,pilot
2012,unabl
2013,maintain
2014,aircraft
2015,control
2016,pilot
2017,failur
2018,maintain
2019,vertic
2020,clearanc
2021,powerlin
2022,border
2023,field
2024,intend
2025,land
2026,factor
2027,associ
2028,accid
2029,powerlin
2030,pilot
2031,long
2032,fast
2033,land
2034,delay
2035,decis
2036,execut
2037,go
2038,around
2039,pilot
2040,failur
2041,maintain
2042,direct
2043,control
2044,attain
2045,proper
2046,airspe
2047,takeoff
2048,factor
2049,accid
2050,lack
2051,recent
2052,experi
2053,make
2054,model
2055,airplan
2056,total
2057,loss
2058,engin
2059,power
2060,undetermin
2061,reason
2062,pilot
2063,failur
2064,maintain
2065,adequ
2066,airspe
2067,take
2068,gust
2069,wind
2070,result
2071,aerodynam
2072,stall
2073,subsequ
2074,loss
2075,control
2076,pilot
2077,loss
2078,direct
2079,control
2080,land
2081,result
2082,excess
2083,side
2084,load
2085,failur
2086,right
2087,main
2088,land
2089,gear
2090,wheel
2091,loss
2092,engin
2093,power
2094,undetermin
2095,reason
2096,pilot
2097,decis
2098,continu
2099,fli
2100,airplan
2101,known
2102,defici
2103,factor
2104,accid
2105,lack
2106,suitabl
2107,terrain
2108,avail
2109,forc
2110,land
2111,airplan
2112,low
2113,altitud
2114,pilot
2115,inadvert
2116,stall
2117,airplan
2118,total
2119,loss
2120,engin
2121,power
2122,undetermin
2123,reason
2124,loss
2125,command
2126,reduct
2127,engin
2128,power
2129,initi
2130,climb
2131,reason
2132,could
2133,determin
2134,postaccid
2135,impact
2136,damag
2137,fire
2138,destruct
2139,engin
2140,system
2141,compon
2142,causal
2143,pilot
2144,failur
2145,maintain
2146,adequ
2147,airspe
2148,airplan
2149,control
2150,attempt
2151,return
2152,runway
2153,despit
2154,unpopul
2155,flat
2156,terrain
2157,immedi
2158,ahead
2159,suitabl
2160,emerg
2161,land
2162,decis
2163,known
2164,problem
2165,lack
2166,train
2167,make
2168,model
2169,airplan
2170,pilot
2171,misjudg
2172,altitud
2173,clearanc
2174,attempt
2175,sling
2176,load
2177,trailer
2178,safeti
2179,board
2180,determin
2181,probabl
2182,caus
2183,plan
2184,issu
2185,report
2186,open
2187,public
2188,docket
2189,terrorist
2190,attack
2191,septemb
2192,11
2193,2001
2194,jurisdict
2195,feder
2196,bureau
2197,investig
2198,safeti
2199,board
2200,provid
2201,request
2202,technic
2203,assist
2204,fbi
2205,materi
2206,gener
2207,ntsb
2208,control
2209,fbi
2210,pilot
2211,inadequ
2212,compens
2213,wind
2214,condit
2215,failur
2216,maintain
2217,proper
2218,align
2219,airstreip
2220,go
2221,around
2222,abort
2223,land
2224,crosswind
2225,proxim
2226,tree
2227,relat
2228,factor
2229,improp
2230,flare
2231,land
2232,contribut
2233,accid
2234,porpois
2235,induc
2236,oscil
2237,pilot
2238,failur
2239,check
2240,posit
2241,land
2242,gear
2243,attempt
2244,water
2245,land
2246,failur
2247,pilot
2248,maintain
2249,aircraft
2250,control
2251,approach
2252,land
2253,result
2254,collis
2255,object
2256,pilot
2257,failur
2258,maintain
2259,control
2260,airplan
2261,flight
2262,result
2263,aerodynam
2264,stall
2265,dual
2266,student
2267,improp
2268,flare
2269,flight
2270,instructor
2271,inadequ
2272,supervis
2273,contribut
2274,factor
2275,inadequ
2276,commun
2277,flight
2278,instructor
2279,dual
2280,student
2281,loss
2282,engin
2283,power
2284,undetermin
2285,reason
2286,instrument
2287,rate
2288,pilot
2289,command
2290,improp
2291,inflight
2292,plan
2293,decis
2294,continu
2295,vfr
2296,flight
2297,instrument
2298,meteorolog
2299,condit
2300,result
2301,loss
2302,control
2303,descent
2304,impact
2305,water
2306,pilot
2307,inadequ
2308,inflight
2309,plan
2310,decis
2311,result
2312,unsuit
2313,field
2314,land
2315,site
2316,contribut
2317,factor
2318,downdraft
2319,weather
2320,condit
2321,pilot
2322,improp
2323,plan
2324,decis
2325,failur
2326,attain
2327,suffici
2328,airspe
2329,sustain
2330,climb
2331,hit
2332,tree
2333,unfavor
2334,wind
2335,condit
2336,relat
2337,factor
2338,pilot
2339,command
2340,failur
2341,stand
2342,clear
2343,propel
2344,rotat
2345,hand
2346,result
2347,propel
2348,rotat
2349,around
2350,due
2351,engin
2352,compress
2353,strike
2354,pilot
2355,caus
2356,lose
2357,balanc
2358,fall
2359,ramp
2360,result
2361,seriou
2362,injuri
2363,pilot
2364,improp
2365,preflight
2366,flight
2367,plan
2368,result
2369,loss
2370,engin
2371,power
2372,due
2373,fuel
2374,exhaust
2375,interrupt
2376,fuel
2377,flow
2378,engin
2379,due
2380,misrout
2381,fuel
2382,vent
2383,line
2384,pilot
2385,innacur
2386,preflight
2387,fuel
