,0,1
340,even,2
341,though,1
342,awar,14
343,state,9
344,submit,1
345,line,159
346,could,61
347,postaccid,30
348,examin,36
349,reveal,22
350,anomali,24
351,would,41
352,preclud,30
353,normal,37
354,taxi,105
355,unfavor,41
356,site,35
357,culvert,3
358,possibl,20
359,physic,7
360,impair,53
361,b,9
362,nut,13
363,fit,28
364,leak,45
365,explos,3
366,path,36
367,emerg,127
368,asleep,2
369,rel,5
370,long,20
371,sinc,1
372,awaken,1
373,task,7
374,environ,12
375,overload,28
376,outboard,13
377,section,12
378,crop,20
379,identifi,30
380,unsaf,7
381,hazard,13
382,attempt,183
383,rule,6
384,spatial,67
385,disorient,65
386,undershoot,13
387,remedi,109
388,action,135
389,rate,90
390,passeng,43
391,assum,2
392,lose,9
393,partial,134
394,panel,3
395,inop,27
396,attitud,14
397,fals,6
398,sensor,6
399,fenc,58
400,turbin,29
401,disconnect,26
402,leaf,1
403,spring,10
404,midair,11
405,wrong,26
406,beyond,14
407,departur,52
408,retract,45
409,skid,13
410,delamin,2
411,hand,10
412,carv,1
413,wooden,4
414,ceil,50
415,heavi,13
416,rain,18
417,taxiway,19
418,post,12
419,sunglar,10
420,hinder,1
421,abil,36
422,see,65
423,selector,50
424,prior,88
425,start,31
426,depart,33
427,unlight,4
428,refer,11
429,obstruct,60
430,breakup,5
431,imc,48
432,evalu,43
433,consist,6
434,stand,17
435,lenticular,1
436,cloud,36
437,maximum,23
438,gross,27
439,weight,67
440,report,28
441,dust,7
442,reduc,43
443,visibl,30
444,threshold,5
445,hilli,21
446,cabl,68
447,aft,20
448,fairlead,1
449,wear,8
450,certifi,23
451,prepar,64
452,switch,22
453,tank,61
454,feather,14
455,recommend,20
456,mist,7
457,observ,12
458,seiz,7
459,manufactur,81
460,requir,48
461,100,5
462,hour,8
463,ensur,63
464,hydraul,46
465,secur,36
466,fire,51
467,drive,44
468,accessori,5
469,induc,43
470,caus,90
471,machin,3
472,fillet,2
473,radiu,4
474,origin,17
475,purg,1
476,conduct,32
477,recent,49
478,annual,22
479,replac,13
480,deterior,20
481,cap,18
482,ring,14
483,avoid,106
484,erron,9
485,readout,1
486,cessna,30
487,encod,1
488,unknown,47
489,helicopt,109
490,practic,13
491,strong,23
492,tidal,1
493,current,6
494,unabl,4
495,powerlin,10
496,border,4
497,fast,2
498,take,15
499,gust,122
500,defici,37
501,reduct,13
502,determin,61
503,damag,55
504,destruct,2
505,compon,30
506,return,18
507,despit,3
508,unpopul,1
509,flat,11
510,immedi,11
511,ahead,8
512,problem,14
513,sling,5
514,trailer,4
515,safeti,14
516,board,12
517,probabl,13
518,issu,21
519,open,35
520,public,2
521,docket,3
522,terrorist,1
523,septemb,1
524,11,4
525,2001,1
526,jurisdict,1
527,feder,15
528,bureau,1
529,investig,6
530,request,5
531,technic,1
532,assist,12
533,fbi,2
534,materi,17
535,gener,5
536,ntsb,5
537,airstreip,1
538,proxim,27
539,porpois,14
540,oscil,7
541,object,26
542,dual,40
543,commun,22
544,downdraft,62
545,sustain,6
546,hit,4
547,clear,36
548,rotat,16
549,compress,7
550,strike,25
551,balanc,25
552,fall,8
553,ramp,8
554,interrupt,7
555,flow,16
556,misrout,2
557,vent,11
558,innacur,1
559,consupt,1
560,number,47
561,two,36
562,n77ti,1
563,race,5
564,three,10
565,n20c,1
566,deceler,1
567,blind,4
568,spot,6
569,consid,12
570,manifold,7
571,collector,2
572,poor,61
573,judgement,18
574,elect,10
575,anoth,22
576,smoke,8
577,cockpit,21
578,touch,26
579,unmark,4
580,degrad,9
581,unauthor,4
582,modif,8
583,increas,8
584,capac,1
585,flap,71
586,support,12
587,cover,47
588,snow,81
589,entri,16
590,crash,3
591,ocean,8
592,electr,65
593,master,6
594,relay,2
595,fuse,4
596,builder,20
597,output,7
598,altern,29
599,cement,1
600,wall,6
601,counteract,2
602,cross,32
603,render,6
604,success,7
605,improperli,36
606,canopi,10
607,latch,11
608,liftoff,18
609,extens,43
610,aerial,25
611,1,34
612,incorrect,30
613,led,80
614,2,36
615,boe,7
616,737,3
617,ascertain,2
618,inform,37
619,regard,12
620,instruct,34
621,deactiv,5
622,thrust,16
623,revers,25
624,asymmetr,4
625,deplet,3
626,inboard,6
627,accumul,19
628,pedal,16
629,slow,7
630,without,21
631,travel,3
632,higher,7
633,4,11
634,overtravel,2
635,unport,4
636,fluid,14
637,illustr,1
638,part,17
639,catalog,1
640,troubleshoot,5
641,appropri,8
642,document,2
643,pitch,30
644,linkag,11
645,letter,4
646,blockag,17
647,mud,3
648,wasp,1
649,nest,3
650,lean,6
651,mixtur,29
652,entangl,13
653,crewmemeb,1
654,helmet,2
655,cord,6
656,structur,18
657,ascent,1
658,crewmemb,6
659,level,38
660,appl,1
661,diminish,8
662,flock,2
663,mani,1
664,parachutist,5
665,hung,1
666,outsid,9
667,fractur,44
668,tow,23
669,bar,10
670,weld,7
671,person,27
672,errat,3
673,pitot,13
674,static,11
675,correct,39
676,aerobat,35
677,prohibit,2
678,spar,10
679,scraper,1
680,unlock,4
681,anim,4
682,later,12
683,rollout,33
684,natur,9
685,chosen,1
686,shower,5
687,drizzl,2
688,along,17
689,rout,26
690,relianc,3
691,gaug,10
692,read,4
693,home,3
694,deflat,5
695,retain,8
696,sprag,1
697,clutch,6
698,parachut,13
699,disregard,21
700,bind,13
701,moistur,5
702,extend,45
703,period,3
704,rust,3
705,corros,32
706,keep,3
707,step,5
708,becom,36
709,airborn,6
710,lost,30
711,depth,2
712,percept,8
713,float,17
714,glassi,3
715,transmiss,42
716,wire,92
717,judgment,20
718,alcohol,25
719,involv,8
720,rais,13
721,complet,45
722,eros,3
723,electrod,1
724,six,2
725,twelv,1
726,spark,8
727,colder,1
728,heat,73
729,rang,3
730,specifi,6
731,upslop,6
732,gradient,1
733,free,8
734,lift,29
735,wrap,3
736,thread,5
737,prevent,30
738,head,12
739,halv,2
740,assembl,65
741,lead,30
742,propag,3
743,ultim,7
744,foreign,11
745,compressor,18
746,swampi,3
747,windshear,14
748,prematur,41
749,berm,13
750,glider,31
751,attach,29
752,occur,12
753,weed,1
754,leve,3
755,dirt,19
756,primer,2
757,assur,36
758,remov,29
759,frost,10
760,background,1
761,hire,3
762,mgmt,2
763,driven,6
764,suppli,69
765,conduc,22
766,format,11
767,freez,6
768,temperatur,18
769,pre,18
770,cabin,15
771,reas0n,1
772,privat,17
773,cfi,66
774,pole,17
775,modifi,6
776,august,2
777,18,2
778,2015,1
779,pleas,1
780,view,5
781,supplement,7
782,circuit,12
783,vibrat,5
784,abras,1
785,protect,6
786,chafe,6
787,onboard,12
788,faa,23
789,mean,1
790,suppress,1
791,conspicu,3
792,across,4
793,late,4
794,evas,7
795,understand,9
796,present,5
797,windsock,3
798,addit,35
799,lte,2
800,upon,12
801,forward,23
802,dug,1
803,amphibian,1
804,ravin,6
805,insuffici,35
806,traffic,57
807,complac,4
808,quarter,17
809,sever,34
810,event,13
811,descend,19
812,embank,16
813,deploy,11
814,grappl,1
815,hook,2
816,banner,14
817,pick,5
818,drop,5
819,move,9
820,jam,19
821,quantiti,17
822,gravel,7
823,stop,21
824,rich,5
825,begin,3
826,pattern,19
827,quit,3
828,set,42
829,flex,3
830,cone,1
831,rock,5
832,lodg,4
833,throttl,28
834,blade,42
835,pipe,3
836,hub,9
837,accord,6
838,statement,3
839,dip,2
840,drag,8
841,swerv,33
842,onto,15
843,tire,19
844,blew,1
845,came,6
846,well,3
847,tip,8
848,respond,7
849,inquiri,1
850,undertorqu,5
851,damper,3
852,intent,66
853,park,34
854,survey,2
855,camshaft,5
856,prop,5
857,translat,1
858,cowl,10
859,intermitt,6
860,previou,6
861,resolv,1
862,malfunct,31
863,earlier,3
864,incomplet,5
865,address,3
866,anomal,1
867,burn,2
868,drug,9
869,10,5
870,knot,5
871,crowd,1
872,overh,2
873,far,3
874,deton,4
875,overtemperatur,3
876,becam,23
877,distract,19
878,chang,18
879,routin,2
880,rib,3
881,situat,15
882,behalf,1
883,rpm,59
884,near,18
885,substanti,16
886,find,10
887,four,4
888,fill,2
889,accomplish,5
890,counterweight,5
891,screw,9
892,residenti,2
893,secondari,8
894,reel,1
895,full,27
896,owner,34
897,represent,1
898,airfram,26
899,36,1
900,signific,3
901,yell,1
902,miss,28
903,cue,7
904,distinct,2
905,height,6
906,instead,6
907,local,28
908,glideslop,2
909,first,26
910,offic,16
911,affect,6
912,monitor,19
913,shuttl,1
914,america,1
915,administ,1
916,polici,3
917,permit,8
918,call,1
919,fear,1
920,repris,1
921,unreli,2
922,gage,4
923,tall,13
924,climbout,5
925,noseov,2
926,lower,13
927,effici,4
928,undocu,2
929,crack,40
930,simul,15
931,beverag,2
932,cart,3
933,toppl,1
934,foot,4
935,intern,16
936,within,14
937,cell,5
938,unit,23
939,apu,4
940,lithium,1
941,ion,1
942,batteri,10
943,thermal,8
944,runaway,3
945,cascad,1
946,incid,28
947,incorpor,1
948,mitig,2
949,aviat,12
950,administr,9
951,type,39
952,certif,31
953,process,9
954,inappropri,6
955,torqu,31
956,tube,26
957,bracket,6
958,pivot,3
959,sign,30
960,unwarr,1
961,ignit,27
962,turbul,66
963,airstart,1
964,thunderstorm,21
965,lightn,3
966,wood,7
967,canyon,15
968,turf,3
969,unairworthi,3
970,uncertif,2
971,cooler,3
972,rig,7
973,bellcrank,4
974,pavement,2
975,tailwheel,19
976,guid,6
977,settl,14
978,unavail,8
979,develop,8
980,intak,8
981,essenti,1
982,equip,36
983,amount,8
984,dens,1
985,forest,3
986,driver,18
987,divis,1
988,publish,15
989,undertermin,4
990,downhil,3
991,recov,32
992,gascol,7
993,experiment,5
994,fk1,1
995,cfit,1
996,nighttim,6
997,warn,22
998,discrep,6
999,bolt,42
1000,actuat,22
1001,hous,7
1002,evid,5
1003,earth,1
1004,shear,9
1005,hot,4
1006,quick,1
1007,misalign,4
1008,washer,2
1009,fray,3
1010,hose,11
1011,either,8
1012,elderli,1
1013,smooth,1
1014,rockwel,1
1015,690,1
1016,n707bp,1
1017,piper,10
1018,28r,1
1019,n33056,1
1020,contain,6
1021,airman,3
1022,tower,42
1023,arriv,9
1024,radar,9
1025,advis,5
1026,facil,13
1027,staf,1
1028,pinch,1
1029,featur,3
1030,loos,24
1031,margin,10
1032,cours,13
1033,broadcast,2
1034,trap,1
1035,horn,5
1036,get,10
1037,trepid,1
1038,prevail,18
1039,inject,6
1040,reach,7
1041,presenc,24
1042,overconfid,18
1043,turnbuckl,4
1044,regim,2
1045,piec,3
1046,machineri,1
1047,crankcas,9
1048,buckl,3
1049,skin,1
1050,fuselag,8
1051,regain,11
1052,snowbank,5
1053,transport,6
1054,expereinc,5
1055,forget,2
1056,advisori,20
1057,supervisor,6
1058,recogn,10
1059,workload,5
1060,configur,19
1061,countri,7
1062,ferri,2
1063,deer,24
1064,chemic,6
1065,windshield,16
1066,desir,1
1067,zone,6
1068,p,6
1069,undetect,8
1070,corrod,4
1071,stone,2
1072,scaveng,1
1073,shield,2
1074,look,8
1075,hole,10
1076,rebuild,3
1077,five,3
1078,pickup,5
1079,rope,7
1080,ldg,1
1081,concret,1
1082,airstrip,31
1083,collect,13
1084,rest,1
1085,sleep,6
1086,hillsid,2
1087,coordin,15
1088,push,10
1089,length,12
1090,lake,9
1091,necessit,3
1092,steep,10
1093,acceler,15
1094,necessari,8
1095,standard,16
1096,class,4
1097,airspac,4
1098,header,1
1099,block,19
1100,demonstr,6
1101,ici,10
1102,convect,9
1103,deviat,4
1104,primari,5
1105,buildup,3
1106,mask,1
1107,termin,6
1108,gate,5
1109,util,18
1110,outdat,2
1111,therebi,2
1112,taxilan,1
1113,nonstandard,3
1114,marshal,6
1115,signal,2
1116,accordingli,1
1117,misinterpret,3
1118,locat,18
1119,wake,16
1120,larger,1
1121,preced,2
1122,gyroplan,4
1123,went,1
1124,reson,3
1125,worn,10
1126,simultan,4
1127,truck,13
1128,upper,7
1129,sandi,2
1130,trunnion,2
1131,edg,14
1132,bore,2
1133,intergranular,4
1134,eventu,3
1135,ductil,2
1136,invert,4
1137,immers,1
1138,receiv,10
1139,ifr,19
1140,handler,2
1141,slush,8
1142,link,9
1143,alittud,1
1144,confid,7
1145,qualiti,8
1146,fasten,2
1147,adhes,2
1148,debond,4
1149,cocain,3
1150,sequenc,11
1151,inaccuraci,2
1152,substanc,1
1153,deform,2
1154,plate,7
1155,glide,27
1156,vicin,4
1157,loosen,5
1158,clamp,7
1159,pack,2
1160,detect,27
1161,surround,6
1162,ga,4
1163,leakag,2
1164,inlet,8
1165,hangar,9
1166,strut,13
1167,commut,1
1168,carrier,1
1169,hidden,9
1170,unqualifi,3
1171,last,4
1172,accident,1
1173,discharg,3
1174,spear,1
1175,gun,1
1176,momentarili,1
1177,second,8
1178,self,11
1179,brother,1
1180,graduat,1
1181,day,3
1182,commerci,7
1183,shortli,6
1184,profil,3
1185,appar,2
1186,disagr,1
1187,tie,6
1188,incur,4
1189,shoulder,2
1190,har,8
1191,attribut,2
1192,degre,10
1193,basic,1
1194,gyro,4
1195,comput,5
1196,coupl,15
1197,previous,4
1198,anti,12
1199,proactiv,1
1200,stanc,1
1201,agreement,1
1202,inadequaci,1
1203,regul,7
1204,given,5
1205,brace,3
1206,empti,5
1207,pushpul,1
1208,bundl,2
1209,vmc,9
1210,bowl,2
1211,screen,7
1212,concern,10
1213,rv,4
1214,6a,1
1215,inher,1
1216,arm,9
1217,away,4
1218,snag,6
1219,overdu,5
1220,big,1
1221,game,2
1222,idl,9
1223,disabl,7
1224,disturb,1
1225,creat,8
1226,hijack,1
1227,forcibl,1
1228,cuba,1
1229,windshift,6
1230,handbook,6
1231,astm,1
1232,consensu,1
1233,contract,2
1234,complianc,12
1235,correctli,10
1236,mount,8
1237,adher,8
1238,suggest,2
1239,schedul,1
1240,aveng,2
1241,indequ,2
1242,6,4
1243,inattent,11
1244,ajar,1
1245,habit,2
1246,shallow,1
1247,undermin,1
1248,perimet,6
1249,irrig,6
1250,burner,3
1251,balloon,18
1252,envelop,9
1253,fatal,2
1254,stowaway,1
1255,asphyxia,1
1256,hypothermia,1
1257,root,1
1258,struck,11
1259,singl,16
1260,displac,2
1261,interfer,9
1262,approv,10
1263,order,6
1264,14,4
1265,cfr,2
1266,135,1
1267,fulli,12
1268,retard,4
1269,reject,6
1270,illumin,5
1271,rebound,1
1272,still,3
1273,servo,12
1274,debri,7
1275,automot,4
1276,amateur,3
1277,built,4
1278,overboard,2
1279,identif,3
1280,starter,4
1281,adapt,8
1282,unintent,6
1283,ambient,5
1284,grow,2
1285,grassi,4
1286,exercis,3
1287,handl,21
1288,shift,14
1289,behind,6
1290,larg,3
1291,militari,1
1292,turbo,1
1293,knew,2
1294,may,6
1295,test,8
1296,insur,8
1297,pass,13
1298,thu,4
1299,propwash,1
1300,life,1
1301,compart,14
1302,injector,5
1303,influenc,6
1304,disori,26
1305,way,3
1306,560,1
1307,feet,6
1308,unexpect,5
1309,past,3
1310,glass,3
1311,willow,1
1312,connector,3
1313,pile,1
1314,made,11
1315,blown,2
1316,fuze,1
1317,formal,2
1318,mission,4
1319,autopilot,7
1320,categori,3
1321,phase,6
1322,balk,1
1323,corn,6
1324,forecast,17
1325,abl,5
1326,sappl,1
1327,transmitt,2
1328,progress,2
1329,cognit,2
1330,declin,1
1331,alzheim,1
1332,outclimb,1
1333,closur,2
1334,apprehens,3
1335,moor,2
1336,plane,5
1337,precipit,8
1338,transfer,11
1339,among,4
1340,cab,4
1341,teb,2
1342,intersect,4
1343,prudent,1
1344,assess,1
1345,clearway,1
1346,shelf,1
1347,electron,5
1348,fault,2
1349,uncommand,7
1350,chart,5
1351,twa,1
1352,program,6
1353,repetit,2
1354,aar,3
1355,93,2
1356,04,1
1357,postcrash,1
1358,c321capacitor,1
1359,ecu,2
1360,15v,1
1361,disengag,8
1362,revert,1
1363,hydro,1
1364,hmu,2
1365,automat,3
1366,mode,4
1367,encounterwith,1
1368,microburst,3
1369,clip,4
1370,catch,1
1371,grade,3
1372,realat,1
1373,eman,2
1374,pit,3
1375,input,16
1376,analyz,2
1377,nearest,2
1378,impel,7
1379,jettison,11
1380,slope,10
1381,multipl,3
1382,extern,18
1383,shock,6
1384,incorrectli,2
1385,besid,6
1386,cater,2
1387,depress,3
1388,powerpl,7
1389,strobe,1
1390,plastic,2
1391,sport,2
1392,obscur,16
1393,horizon,1
1394,n777un,1
1395,exit,10
1396,abrupt,14
1397,perceiv,3
1398,conflict,5
1399,enter,14
1400,deep,2
1401,alongsid,3
1402,instuctor,1
1403,muddi,9
1404,anemomet,1
1405,burnt,2
1406,embed,2
1407,intens,4
1408,extrem,2
1409,overstress,15
1410,trim,41
1411,tab,11
1412,nonpilot,1
1413,shut,7
1414,ptu,1
1415,bodi,3
1416,slight,2
1417,mast,1
1418,n693sb,1
1419,beech,7
1420,34,1
1421,squadron,1
1422,45,1
1423,30,2
1424,newli,5
1425,acquir,1
1426,error,3
1427,tiwh,1
1428,compromis,1
1429,spiral,6
1430,pretakeoff,4
1431,narrow,5
1432,counter,2
1433,sedat,3
1434,antihistamin,4
1435,bulkhead,5
1436,ridg,4
1437,windi,2
1438,pushrod,1
1439,deflect,3
1440,opposit,3
1441,worm,1
1442,gearbox,13
1443,reliabl,1
1444,foul,4
1445,arc,4
1446,distributor,1
1447,familiar,30
1448,blow,3
1449,rocki,3
1450,techniqu,6
1451,puddl,3
1452,frozen,5
1453,buzz,13
1454,unstabil,2
1455,birdstrik,1
1456,rear,7
1457,got,1
1458,pinion,1
1459,swath,3
1460,proceed,6
1461,recondit,2
1462,marker,2
1463,porcedur,1
1464,whirlwind,2
1465,bogu,2
1466,manuev,8
1467,shortag,1
1468,disqualifi,1
1469,medic,9
1470,diagram,1
1471,mismang,2
1472,usabl,2
1473,railroad,3
1474,spur,1
1475,alter,1
1476,filter,18
1477,fiber,1
1478,residu,1
1479,temporari,3
1480,probe,3
1481,like,7
1482,crystal,10
1483,aloft,1
1484,autom,1
1485,thale,1
1486,aa,1
1487,suscept,1
1488,belt,9
1489,radio,16
1490,mark,13
1491,unsuccess,4
1492,strength,1
1493,gopher,1
1494,mound,6
1495,thick,1
1496,articul,1
1497,cargo,8
1498,pallet,2
1499,combustor,2
1500,drain,12
1501,rtv,1
1502,suspect,6
1503,shutdown,5
1504,erod,1
1505,vane,3
1506,nozzl,11
1507,filler,5
1508,onset,3
1509,hear,2
1510,amplif,1
1511,noninstru,3
1512,mda,5
1513,parallel,1
1514,wingtip,4
1515,histori,2
1516,shutoff,2
1517,unsecur,3
1518,contribuit,2
1519,sand,4
1520,retractor,1
1521,portion,9
1522,groundloop,1
1523,50,2
1524,percent,1
1525,cannon,2
1526,sealant,1
1527,joint,3
1528,seal,11
1529,favor,6
1530,realiz,2
1531,motor,8
1532,airworthi,9
1533,convert,3
1534,gasket,6
1535,plant,3
1536,stage,6
1537,least,1
1538,canada,1
1539,goos,1
1540,listen,1
1541,differ,1
1542,sight,5
1543,pictur,1
1544,recognit,1
1545,intervent,1
1546,custom,1
1547,recurr,3
1548,mt,1
1549,brought,1
1550,friction,2
1551,fbo,1
1552,form,3
1553,miscalcul,2
1554,hypoxia,4
1555,repeat,4
1556,000,2
1557,msl,1
1558,oxygen,8
1559,terrainth,1
1560,co,4
1561,quickli,2
1562,respect,2
1563,mismanag,10
1564,jet,9
1565,notifi,3
1566,potenti,5
1567,group,2
1568,barracad,1
1569,greas,1
1570,lubric,12
1571,abnorm,1
1572,angular,2
1573,hydrant,1
1574,platform,3
1575,pull,15
1576,produc,6
1577,spill,1
1578,decreas,3
1579,minim,1
1580,actual,5
1581,judg,2
1582,avert,1
1583,case,10
1584,relief,4
1585,desert,1
1586,question,1
1587,whether,3
1588,strung,1
1589,blowdown,1
1590,offset,1
1591,neutral,1
1592,tailboom,9
1593,next,2
1594,pave,2
1595,sink,8
1596,tug,15
1597,particl,1
1598,overgross,1
1599,frequenc,5
1600,pinnacl,3
1601,updraft,1
1602,preexist,1
1603,shimmi,2
1604,dampen,1
1605,hardwar,3
1606,imped,1
1607,resourc,2
1608,deic,9
1609,surveil,6
1610,chief,2
1611,marijuana,5
1612,extinguish,1
1613,relight,1
1614,pulley,4
1615,tension,5
1616,undergo,1
1617,plow,4
1618,sfo,2
1619,wingman,2
1620,belli,2
1621,discontinu,3
1622,misjud,1
1623,maintian,2
1624,vapor,3
1625,flt,2
1626,acft,2
1627,inflt,2
1628,scrape,1
1629,cotton,2
1630,insid,5
1631,telephon,2
1632,wait,2
1633,jump,4
1634,green,1
1635,decid,1
1636,jumper,2
1637,unsuitalb,1
1638,spall,2
1639,correspond,1
1640,tappet,1
1641,face,1
1642,purchas,1
1643,spoiler,9
1644,special,1
1645,review,3
1646,record,1
1647,laboratori,1
1648,magnaflux,1
1649,x,1
1650,ray,1
1651,unservic,2
1652,tag,2
1653,torsion,4
1654,fret,3
1655,pertain,3
1656,flightcrew,17
1657,aerolog,1
1658,fin,4
1659,fourth,1
1660,rivet,4
1661,hypertens,1
1662,arteriosclerot,1
1663,devil,4
1664,rut,2
1665,brush,6
1666,cardiac,3
1667,arrest,5
1668,heart,2
1669,list,2
1670,breaker,3
1671,road,22
1672,mile,5
1673,chronic,1
1674,sinu,1
1675,infect,1
1676,tundra,3
1677,qualifi,3
1678,instanc,1
1679,note,4
1680,tri,5
1681,messag,2
1682,boat,2
1683,guy,5
1684,restart,2
1685,disk,2
1686,tanker,1
1687,dispens,1
1688,reaction,2
1689,turbocharg,5
1690,technician,1
1691,pushback,6
1692,delta,1
1693,airlin,4
1694,signalman,1
1695,need,5
1696,airbu,3
1697,emb,2
1698,170,2
1699,pylon,2
1700,strap,4
1701,notam,3
1702,congest,4
1703,chaf,1
1704,ruptur,9
1705,nicopress,1
1706,sleev,2
1707,slip,5
1708,8,4
1709,overshot,1
1710,propos,1
1711,transduc,2
1712,stiff,4
1713,flutter,7
1714,locknut,1
1715,insert,1
1716,sometim,1
1717,untest,1
1718,major,6
1719,uniqu,1
1720,fulcrum,2
1721,fell,1
1722,deplan,2
1723,grumman,2
1724,hold,6
1725,rapid,6
1726,particularli,1
1727,sump,1
1728,construct,5
1729,die,1
1730,coronari,1
1731,belong,1
1732,waco,2
1733,convent,2
1734,radiat,1
1735,unexplain,2
1736,moonless,1
1737,illus,3
1738,atp,3
1739,halfway,1
1740,circl,4
1741,engag,10
1742,reinstal,3
1743,collar,1
1744,rearward,1
1745,bent,5
1746,directioin,1
1747,restor,2
1748,copilot,7
1749,altimet,4
1750,oversight,1
1751,poorli,6
1752,misunderstand,3
1753,tracon,3
1754,ati,2
1755,duti,6
1756,expect,3
1757,4l,1
1758,gyrocraft,1
1759,cycl,2
1760,combin,9
1761,fan,3
1762,contour,1
1763,surg,4
1764,amphibi,3
1765,seaplan,1
